Plate #	Well #	ID #	Nanodrop ng/ul	260/280	260/230	Qubit ng/ul	Project Leader		bruiser
1	A1	SCP-9	60.6	1.74	1.67	53.6	Greg Breed		
1	B1	BUL-4	63.64	1.75	1.54	31	Greg Breed		
1	C1	VT4-4	53.07	1.78	1.67	44.8	Greg Breed		
1	D1	VT1-7	51.11	1.65	1.44	22.6	Greg Breed		
1	E1	PIS-7	25.12	1.8	1.92	15.7	Greg Breed		
1	F1	PIS-12	36.28	1.74	1.61	33	Greg Breed		
1	G1	HARV-17L	22.81	1.72	1.71	17.3	Greg Breed		
1	H1	KEWS-17	44.53	1.77	1.7	24.4	Greg Breed		
1	A2	PIS-6	46.87	1.73	1.45	16.1	Greg Breed		
1	B2	BUL-7	12.23	2.12	1.84	9.54	Greg Breed		
1	C2	VT1-11	68.9	1.83	1.43	24.5	Greg Breed		
1	D2	SCP-8	28.86	1.79	1.79	19.2	Greg Breed		
1	E2	PIS-15	42.74	1.71	1.71	19.4	Greg Breed		
1	F2	SCP-10	46.54	1.8	1.92	19	Greg Breed		
1	G2	HARV-17H	210.2	1.72	0.85	27.4	Greg Breed		
1	H2	KEWS-16	58.26	1.8	1.69	31.5	Greg Breed		
1	A3	VT1-5	52.35	1.94	1.9	32.9	Greg Breed		
1	B3	PUCK-1	58.05	1.77	1.64	23.8	Greg Breed		
1	C3	VT1-6	62.84	1.8	1.73	46.2	Greg Breed		
1	D3	SCP-1	33.41	1.75	1.6	15.9	Greg Breed		
1	E3	SCP-11	18.79	1.69	1.61	9.48	Greg Breed		
1	F3	VT1-3	32.87	1.9	1.72	15.6	Greg Breed		
1	G3	HARV-2L	45.21	1.84	1.8	22.1	Greg Breed		
1	H3	WAP-14	66.15	1.81	1.75	36.4	Greg Breed		
1	A4	VT4-7	49.26	1.84	1.73	25.8	Greg Breed		
1	B4	ITH-1	60.58	1.72	1.54	34.3	Greg Breed		
1	C4	BUL-1	128.36	1.67	1.78	42.6	Greg Breed		
1	D4	PIS-5	28.59	1.76	1.67	16.4	Greg Breed		
1	E4	VT4-1	36.23	1.83	1.62	9.78	Greg Breed		
1	F4	KEWS-6	38.13	1.8	1.88	75.5	Greg Breed		
1	G4	HARV-2H	161.37	1.71	0.85	30.6	Greg Breed		
1	H4	NAV-10	60.91	1.81	1.78	33.2	Greg Breed		
1	A5	BUL-5	76.87	1.78	1.75	53.2	Greg Breed		
1	B5	PIS-3	50.55	1.82	1.65	32.7	Greg Breed		
1	C5	BUL-6	79.94	1.81	1.77	56.2	Greg Breed		
1	D5	PIS-13	34.17	1.81	1.75	26.5	Greg Breed		
1	E5	VT4-3	29.3	1.64	1.56	16.3	Greg Breed		
1	F5	KEWS-7	48.45	1.79	1.7	23.5	Greg Breed		
1	G5	WAP-11L	21.4	1.71	1.32	10.7	Greg Breed		
1	H5	WAP-10	54.62	1.77	1.63	29.5	Greg Breed		
1	A6	BUL-9	54.88	1.9	1.61	45.5	Greg Breed		
1	B6	SCP-2	61.21	1.8	1.59	31.6	Greg Breed		
1	C6	KEW -1	56.23	1.81	1.63	20.1	Greg Breed		
1	D6	SCP-4	18.11	1.76	1.45	9.36	Greg Breed		
1	E6	BUL-2	35.49	1.8	1.87	20.8	Greg Breed		
1	F6	KEWS-5	62.91	1.74	1.79	34.1	Greg Breed		
1	G6	WAP-11H	136.75	1.69	0.85	21.1	Greg Breed		
1	H6	NAV-1	42.83	1.69	1.38	20.4	Greg Breed		
1	A7	KEWS-2	60.08	1.75	1.67	30.7	Greg Breed		
1	B7	VT4-8	64.76	1.71	1.42	45.8	Greg Breed		
1	C7	ITH-11	53.6	1.75	1.67	26.8	Greg Breed		
1	D7	SCP-12	42.78	1.86	1.76	33.3	Greg Breed		
1	E7	SUR-10	26	1.8	1.6	14.5	Greg Breed		
1	F7	PUCK-2	35.58	1.77	1.7	15.2	Greg Breed		
1	G7	HARV-12L	63.29	1.71	1.74	40.5	Greg Breed		
1	H7	HARV-8	63.79	1.79	1.76	39.2	Greg Breed		
1	A8	ITH-14	51.63	1.75	1.6	24.5	Greg Breed		
1	B8	BUL-8	41.93	1.69	1.53	22.8	Greg Breed		
1	C8	ITH-9	40.58	1.8	1.75	29.3	Greg Breed		
1	D8	VT1-12	24.88	1.75	1.58	11.3	Greg Breed		
1	E8	SUR-4	35.38	1.8	1.38	17.2	Greg Breed		
1	F8	BUL-3	42.44	1.66	1.63	24.1	Greg Breed		
1	G8	HARV-12H	156.75	1.72	0.84	19.6	Greg Breed		
1	H8	HARV-3	64.76	1.8	1.68	37	Greg Breed		
1	A9	PIS-4	35.07	1.66	1.44	15.5	Greg Breed		
1	B9	SUM-1	44.6	1.89	1.78	19.8	Greg Breed		
1	C9	KEWS-3	41.7	1.77	1.74	21.6	Greg Breed		
1	D9	VT4-6	45.8	1.82	1.94	18.9	Greg Breed		
1	E9	SUR-13	15.93	1.92	1.57	8.21	Greg Breed		
1	F9	VT4-2	36.33	1.71	1.56	12	Greg Breed		
1	G9	HARV-1	67.92	1.79	1.66	42.1	Greg Breed		
1	H9	WAP-18	25.39	1.75	1.81	13.8	Greg Breed		
1	A10	SCP-5	51.35	1.78	1.55	30.4	Greg Breed		
1	B10	ITH-10	41.77	1.81	1.71	20.9	Greg Breed		
1	C10	BUL-11	50.08	1.74	1.77	26.2	Greg Breed		
1	D10	BUL-10	33.24	1.73	1.72	20.4	Greg Breed		
1	E10	KEWS-12	29.8	1.75	1.46	12	Greg Breed		
1	F10	SUR-9	28.65	1.79	1.65	15.9	Greg Breed		
1	G10	RI-6	47.56	1.79	1.59	24.5	Greg Breed		
1	H10	NAV-8	52.15	1.7	1.68	23.2	Greg Breed		
1	A11	VT1-8	59.51	1.78	1.55	25.8	Greg Breed		
1	B11	PIS-16	43.48	1.75	1.67	28.1	Greg Breed		
1	C11	VT1-9	68.81	1.84	1.85	39.2	Greg Breed		
1	D11	KEWS-4	35.72	1.78	1.79	26.1	Greg Breed		
1	E11	SUR-3	8.57	1.56	1.15	11.52	Greg Breed		
1	F11	SUR-12	38.83	1.79	1.67	15.8	Greg Breed		
1	G11	SUR-1	58.85	1.8	1.66	32.6	Greg Breed		
1	H11	HARV-13	56.18	1.74	1.6	28.3	Greg Breed		
1	A12	VT4-5	59.33	1.85	1.77	29.7	Greg Breed		
1	B12	VT1-10	48.49	1.8	1.6	15.4	Greg Breed		
1	C12	SCP-7	56.62	1.79	1.66	30.2	Greg Breed		
1	D12	KEWS-1	45.05	1.71	1.76	22.1	Greg Breed		
1	E12	PIS-1	30.1	1.99	1.64	16.7	Greg Breed		
1	F12	SUR-11	26.29	1.68	1.54	13.6	Greg Breed		
1	G12	KEWS-9	47.69	1.72	1.54	23.4	Greg Breed		
1	H12	HARV-19	67.7	1.74	1.55	36.4	Greg Breed		
2	A1	9604	28.49	1.74	1.43	0.125	Erin Campbell		
2	B1	9621	27.12	1.69	1.53	0.111	Erin Campbell		
2	C1	9633	39.38	1.93	2.25	0.0799	Erin Campbell		
2	D1	9646	21.01	1.89	1.62	0.0966	Erin Campbell		
2	E1	9660	41.54	1.8	1.64	0.201	Erin Campbell		
2	F1	9673	23.78	1.99	1.64	0.127	Erin Campbell		
2	G1	9685	54.35	1.73	1.39	0.23	Erin Campbell		
2	H1	9697	42.52	1.79	1.48	0.202	Erin Campbell		
2	A2	9605	27.16	1.72	1.39	0.107	Erin Campbell		
2	B2	9622	24.28	1.67	1.5	0.102	Erin Campbell		
2	C2	9634	30.26	1.77	1.74	0.122	Erin Campbell		
2	D2	9647	35.74	1.74	1.67	0.0904	Erin Campbell		
2	E2	9662	28.37	1.73	1.38	0.21	Erin Campbell		
2	F2	9674	20.89	1.65	1.41	0.0807	Erin Campbell		
2	G2	9686	42.93	1.75	1.34	0.168	Erin Campbell		
2	H2	9698	39.94	1.89	1.98	0.133	Erin Campbell		
2	A3	9607	30.73	1.75	1.2	0.104	Erin Campbell		
2	B3	9623	18.53	2.38	1.46	0.0671	Erin Campbell		
2	C3	9635	24.7	1.94	1.88	0.107	Erin Campbell		
2	D3	9648	32.51	1.64	1.61	0.14	Erin Campbell		
2	E3	9663	35.68	1.87	1.92	0.125	Erin Campbell		
2	F3	9675	36.16	1.72	1.16	0.152	Erin Campbell		
2	G3	9687	56.84	1.8	1.47	0.224	Erin Campbell		
2	H3	9699	41.33	1.76	1.48	0.203	Erin Campbell		
2	A4	9608	21.58	1.79	1.54	0.102	Erin Campbell		
2	B4	9624	27.81	2	1.59	0.0865	Erin Campbell		
2	C4	9636	31.34	1.78	1.93	0.0565	Erin Campbell		
2	D4	9650	29.38	1.77	1.57	0.0629	Erin Campbell		
2	E4	9664	49.85	1.73	1.56	0.0865	Erin Campbell		
2	F4	9676	73.3	1.74	1.35	0.314	Erin Campbell		
2	G4	9688	49.25	1.89	1.58	0.222	Erin Campbell		
2	H4	9700	46.59	1.86	2.33	0.254	Erin Campbell		
2	A5	9610	26.85	1.76	1.88	0.0954	Erin Campbell		
2	B5	9625	24.25	1.64	1.77	0.104	Erin Campbell		
2	C5	9637	37.76	1.79	1.87	0.049	Erin Campbell		
2	D5	9651	31.94	1.73	1.82	0.0523	Erin Campbell		
2	E5	9665	22.51	1.81	1.91	0.0185	Erin Campbell		
2	F5	9677	73.28	1.75	1.36	0.23	Erin Campbell		
2	G5	9689	49.23	1.81	1.56	0.281	Erin Campbell		
2	H5	9702	24.03	1.97	1.7	0.136	Erin Campbell		
2	A6	9611	23	1.74	1.57	0.0895	Erin Campbell		
2	B6	9626	30.88	1.8	1.58	0.0983	Erin Campbell		
2	C6	9638	34.52	1.75	1.7	0.159	Erin Campbell		
2	D6	9652	23.29	1.95	2.05	0.101	Erin Campbell		
2	E6	9666	30.93	1.82	1.61	0.118	Erin Campbell		
2	F6	9678	32.46	1.87	1.7	0.177	Erin Campbell		
2	G6	9690	71.66	1.82	1.54	0.373	Erin Campbell		
2	H6	9703	25.18	1.86	1.86	0.155	Erin Campbell		
2	A7	9613	35.54	1.77	2.03	0.173	Erin Campbell		
2	B7	9627	28.77	1.86	1.6	0.135	Erin Campbell		
2	C7	9639	30.09	1.78	1.96	0.0581	Erin Campbell		
2	D7	9653	23.2	1.77	2.11	0.0253	Erin Campbell		
2	E7	9667	21.31	1.79	1.42	0.0707	Erin Campbell		
2	F7	9679	52.79	1.81	1.55	0.206	Erin Campbell		
2	G7	9691	69.28	1.79	1.49	0.33	Erin Campbell		
2	H7	9704	78.23	1.85	1.97	0.366	Erin Campbell		
2	A8	9615	27.35	2.04	1.91	0.113	Erin Campbell		
2	B8	9628	28.93	1.77	1.88	0.0577	Erin Campbell		
2	C8	9641	41.28	1.77	2.23	0.0662	Erin Campbell		
2	D8	9654	40.98	1.88	2.06	0.0482	Erin Campbell		
2	E8	9668	21.59	1.77	2.23	0.116	Erin Campbell		
2	F8	9680	45.43	1.76	1.23	0.178	Erin Campbell		
2	G8	9692	57.13	1.84	1.66	0.294	Erin Campbell		
2	H8	9705	20.32	1.84	1.56	0.0869	Erin Campbell		
2	A9	9616	22.3	1.75	2.04	0.0513	Erin Campbell		
2	B9	9629	25.3	1.77	2.04	0.0359	Erin Campbell		
2	C9	9642	35.34	1.79	2.49	0.0297	Erin Campbell		
2	D9	9655	26.03	1.96	1.61	0.149	Erin Campbell		
2	E9	9669	36.82	1.88	1.62	0.118	Erin Campbell		
2	F9	9681	40.94	1.84	1.63	0.2	Erin Campbell		
2	G9	9693	103.77	1.84	1.78	0.539	Erin Campbell		
2	H9	8630	49.55	1.96	2.14	32	Bryan Brunet		
2	A10	9617	28.18	1.6	1.58	0.109	Erin Campbell		
2	B10	9630	19.54	1.89	1.35	0.0678	Erin Campbell		
2	C10	9643	4.59	1.75	2.09	0.0573	Erin Campbell		
2	D10	9656	34.3	1.8	1.35	0.155	Erin Campbell		
2	E10	9670	25.97	1.67	1.8	0.0438	Erin Campbell		
2	F10	9682	63.15	1.79	1.55	0.276	Erin Campbell		
2	G10	9694	46.86	1.86	1.65	0.213	Erin Campbell		
2	H10	8635	39.31	1.94	1.97	24.8	Bryan Brunet		
2	A11	9618	35.87	1.77	1.54	0.139	Erin Campbell		
2	B11	9631	26.87	1.85	1.57	0.105	Erin Campbell		
2	C11	9644	28.62	1.82	1.53	0.0402	Erin Campbell		
2	D11	9657	38.72	1.83	1.37	0.113	Erin Campbell		
2	E11	9671	42.1	1.84	1.73	0.204	Erin Campbell		
2	F11	9683	43.76	1.8	1.38	0.192	Erin Campbell		
2	G11	9695	52.17	1.84	1.43	0.216	Erin Campbell		
2	H11	8637	54.53	1.86	2.03	35.3	Bryan Brunet		
2	A12	9619	31.43	1.7	1.39	0.1	Erin Campbell		
2	B12	9632	33.81	1.74	1.31	0.105	Erin Campbell		
2	C12	9645	41.82	1.77	1.62	0.166	Erin Campbell		
2	D12	9659	42.11	1.84	1.58	0.173	Erin Campbell		
2	E12	9672	22.76	1.71	1.31	0.0907	Erin Campbell		
2	F12	9684	56.63	1.85	1.6	0.26	Erin Campbell		
2	G12	9696	73.71	1.82	1.65	0.251	Erin Campbell		
2	H12	8640	45.43	1.98	2.13	29.2	Bryan Brunet		
3	A1	7415	30.73	1.57	1.76	15.6	Giovanny Fagua		
3	B1	7434	16.43	2.08	2.09	14.2	Giovanny Fagua		
3	C1	7446	19.79	1.82	1.87	16.4	Giovanny Fagua		
3	D1	7458	154.41	1.81	1.11	24.5	Giovanny Fagua		
3	E1	7470	41.45	1.97	2.24	22.8	Giovanny Fagua		
3	F1	7482	12.77	1.96	1.57	6.9	Giovanny Fagua		
3	G1	7494	57.59	1.79	2.08	28.9	Giovanny Fagua		
3	H1	7506	61.3	1.83	2.15	41.3	Giovanny Fagua		
3	A2	7419	35.45	1.52	1.7	18.7	Giovanny Fagua		
3	B2	7435	71.48	1.99	1.99	20.9	Giovanny Fagua		
3	C2	7447	18.3	1.74	1.76	15.2	Giovanny Fagua		
3	D2	7459	425.77	1.68	0.9	92.2	Giovanny Fagua		
3	E2	7471	13.15	1.82	1.55	8.475	Giovanny Fagua		
3	F2	7483	33.05	1.77	1.75	19.25	Giovanny Fagua		
3	G2	7495	36.7	1.71	1.64	16.8	Giovanny Fagua		
3	H2	7507	69.1	1.82	2.05	49.7	Giovanny Fagua		
3	A3	7423	43.7	1.76	1.76	20.1	Giovanny Fagua		
3	B3	7436	28.51	2.05	1.78	25.8	Giovanny Fagua		
3	C3	7448	18.09	1.93	1.97	12.7	Giovanny Fagua		
3	D3	7460	393.38	1.69	0.88	18.4	Giovanny Fagua		
3	E3	7472	16.3	1.81	1.65	10.475	Giovanny Fagua		
3	F3	7484	14.8	1.43	1.39	6.56	Giovanny Fagua		
3	G3	7496	75.74	1.79	2.08	53.5	Giovanny Fagua		
3	H3	7508	63	1.78	1.86	42.2	Giovanny Fagua		
3	A4	7424	43.91	1.68	1.67	9.61	Giovanny Fagua		
3	B4	7437	10.16	1.86	1.79	8.04	Giovanny Fagua		
3	C4	7449	30.28	1.72	1.86	27	Giovanny Fagua		
3	D4	7461	171.02	1.79	1.02	21.1	Giovanny Fagua		
3	E4	7473	20.61	1.7	1.49	11.05	Giovanny Fagua		
3	F4	7485	17.83	1.56	1.13	8.55	Giovanny Fagua		
3	G4	7497	55.39	1.82	1.99	45	Giovanny Fagua		
3	H4	7509	48.37	1.8	2.07	31.6	Giovanny Fagua		
3	A5	7426	15.2	1.93	1.87	10.8	Giovanny Fagua		
3	B5	7438	21.35	1.96	1.92	14.9	Giovanny Fagua		
3	C5	7450	41.17	1.83	2.39	25.2	Giovanny Fagua		
3	D5	7462	337.46	1.73	0.95	57.6	Giovanny Fagua		
3	E5	7474	12.2	1.67	1.63	7.055	Giovanny Fagua		
3	F5	7486	21.51	1.72	1.63	10.45	Giovanny Fagua		
